Metric,Parliament Constituency,Winning Candidate,Total Votes
Highest Total Votes,Malkajgiri(7),EATALA RAJENDER,991042
Lowest Total Votes,Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-
